SeaWEED ID,Source,Species common name,Species scientific name,Strain,Product,Production_system,Note_on_system,Description,Country,Specific_location,Year,Sample_size,Environment,Intensity,Experimental,Polyculture_IAA,Yield_t_per_Ha,Yield_kg_per_m3,Grow_out_period_days,m2a_t,m3a_t,Mortality_rate,FCR,Feed_type,Feed_soy_percent,Feed_othercrops_percent,Feed_FMFO_percent,Feed_animal_percent,Feed_method,Electricity_kwh,Diesel_L,Petrol_L,NaturalGas_L,Energy_demand,Energy_units,Person_entering,Date_entered,Notes
83,dOrbcastel-2009-a,Rainbow trout,Oncorhynchus mykiss,,1 tonne live weight,Land-based recirculating,Hypothetical,Rainbow trout grown in hypothetical recirculating system.,France,Murgat SAS,,1 hypothetical farm,,Intensive,Y,,,,,,,,0.8,Compound,,,,,,,,,,,,Rob,12/20/03,Hypothetical
84,Papatryphon-2003-a,Rainbow trout,Oncorhynchus mykiss,,1 tonne live weight,Freshwater flow-through,Commercial,Rainbow trout grown to portion size in flow-through system.,France,,2002,8 farms,,Intensive,,,,,,,,,,,,,,,,,,,,,,Rob,12/20/03,These are three different sizes of harvest
85,Papatryphon-2003-a,Rainbow trout,Oncorhynchus mykiss,,1 tonne live weight,Freshwater flow-through,Commercial,Rainbow trout grown to large size in flow-through system.,France,,2002,8 farms,,Intensive,,,,,,,,,,,,,,,,,,,,,,Rob,12/20/03,These are three different sizes of harvest
86,Papatryphon-2003-a,Rainbow trout,Oncorhynchus mykiss,,1 tonne live weight,Freshwater flow-through,Commercial,Rainbow trout grown to extra large size in flow-through system.,France,,2002,8 farms,,Intensive,,,,,,,,,,,,,,,,,,,,,,Rob,12/20/03,These are three different sizes of harvest
87,SamuelFitwi-2013-a,Rainbow trout,Oncorhynchus mykiss,,1 tonne live weight,Intensive pond,,Trout grown in intensive ponds,Germany,,,,,Intensive,,,,,,,,,,,,,,,,,,,,,,,,
88,SamuelFitwi-2013-a,Rainbow trout,Oncorhynchus mykiss,,1 tonne live weight,Extensive pond,,Trout grown in extensive ponds,Germany,,,1 farm,,Extensive,,,,,,,,,,,,,,,,,,,,,,,,
89,SamuelFitwi-2013-a,Rainbow trout,Oncorhynchus mykiss,,1 tonne live weight,Indoor recirculating,,Trout grown in indoor recirculating system,Denmark,,,1 farm,,Intensive,,,,,,,,,,,,,,,,,,,,,,,,
90,Gronroos-2006-a,Rainbow trout,Oncorhynchus mykiss,,1 tonne slaughtered (ungutted),Lake-based net cages,Typical,Rainbow trout grown in net cages,,,,,,Intensive,,,,,,,,,,,,,,,,,,,,,,,,
91,dOrbcastel-2009-a,Salmonids nei,Salmonidae,,1 tonne live weight,Flow-through,,Mixed salmonids grown in flow-through system.,France,Murgat SAS,2006,1 farm,,Intensive,,,,,,,,,,,,,,,,,,,,,,,,
92,Tyedmers-2007-a,Salmonids nei,Salmonidae,,1 tonne fillets,Unspecified,,Cultured salmon processed into fillets and transported to destination.,United Kingdom,,,,,Intensive,,,,,,,,,,,,,,,,,,,,,,Rob,12/20/03,
