Species (ASFIS species),Species (Main grouping),Species (Order),Species (Family),Species (ASFIS species),Species (ASFIS species),Aquaculture area (FAO major fishing area),Environment (Environment)
Bigeye trevally,PISCES,PERCOIDEI,CARANGIDAE,Caranx sexfasciatus,1702304411,All,Marine
Cockles nei,MOLLUSCA,BIVALVIA,CARDIIDAE,Cardiidae,31623XXXXX,All,Marine
Snooks(=Robalos) nei,PISCES,PERCOIDEI,CENTROPOMIDAE,Centropomus spp,17001025XX,All,Freshwater
Snooks(=Robalos) nei,PISCES,PERCOIDEI,CENTROPOMIDAE,Centropomus spp,17001025XX,All,Marine
Common snook,PISCES,PERCOIDEI,CENTROPOMIDAE,Centropomus undecimalis,1700102510,All,Brackishwater
Common snook,PISCES,PERCOIDEI,CENTROPOMIDAE,Centropomus undecimalis,1700102510,All,Marine
Black seabass,PISCES,PERCOIDEI,SERRANIDAE,Centropristis striata,1700208102,All,Brackishwater
Atlantic spadefish,PISCES,ACANTHUROIDEI,EPHIPPIDAE,Chaetodipterus faber,1740526701,All,Marine
Danube bleak,PISCES,CYPRINIFORMES,CYPRINIDAE,Chalcalburnus chalcoides,1400212401,All,Freshwater
Striped venus,MOLLUSCA,BIVALVIA,VENERIDAE,Chamelea gallina,3161100105,All,Marine
Indonesian snakehead,PISCES,OTHER PERCIFORMES,CHANNIDAE,Channa micropeltes,1771900104,All,Brackishwater
Variegated scallop,MOLLUSCA,BIVALVIA,PECTINIDAE,Chlamys varia,3160803602,All,Marine
Bagrid catfish,PISCES,SILURIFORMES,BAGRIDAE,Chrysichthys nigrodigitatus,1410807802,All,Freshwater
Black catfishes nei,PISCES,SILURIFORMES,BAGRIDAE,Chrysichthys spp,14108078XX,All,Brackishwater
Blackbelt cichlid,PISCES,PERCOIDEI,CICHLIDAE,Cichlasoma maculicauda,1705905307,All,Freshwater
Cichlasoma nei,PISCES,PERCOIDEI,CICHLIDAE,Cichlasoma spp,17059053XX,All,Freshwater
Mudfish,PISCES,SILURIFORMES,CLARIIDAE,Clarias anguillaris,1411803007,All,Freshwater
Mangrove cupped oyster,MOLLUSCA,BIVALVIA,OSTREIDAE,Crassostrea rhizophorae,3160700802,All,Brackishwater
Cupped oysters nei,MOLLUSCA,BIVALVIA,OSTREIDAE,Crassostrea spp,31607008XX,All,Brackishwater
American cupped oyster,MOLLUSCA,BIVALVIA,OSTREIDAE,Crassostrea virginica,3160700803,All,Brackishwater
Humpback grouper,PISCES,PERCOIDEI,SERRANIDAE,Cromileptes altivelis,1700212501,All,Marine
Grass carp(=White amur),PISCES,CYPRINIFORMES,CYPRINIDAE,Ctenopharyngodon idellus,1400203501,All,Brackishwater
Common carp,PISCES,CYPRINIFORMES,CYPRINIDAE,Cyprinus carpio,1400200201,All,Brackishwater
Yellowback seabream,PISCES,PERCOIDEI,SPARIDAE,Dentex tumifrons,1703906013,All,Marine
European seabass,PISCES,PERCOIDEI,MORONIDAE,Dicentrarchus labrax,1700634503,All,Freshwater
Seabasses nei,PISCES,PERCOIDEI,MORONIDAE,Dicentrarchus spp,17006345XX,All,Brackishwater
Seabasses nei,PISCES,PERCOIDEI,MORONIDAE,Dicentrarchus spp,17006345XX,All,Marine
Sargo breams nei,PISCES,PERCOIDEI,SPARIDAE,Diplodus spp,17039033XX,All,Marine
Common two-banded seabream,PISCES,PERCOIDEI,SPARIDAE,Diplodus vulgaris,1703903305,All,Brackishwater
Common two-banded seabream,PISCES,PERCOIDEI,SPARIDAE,Diplodus vulgaris,1703903305,All,Marine
Donax clams,MOLLUSCA,BIVALVIA,DONACIDAE,Donax spp,31615002XX,All,Marine
"Gudgeons, sleepers nei",PISCES,GOBIOIDEI,ELEOTRIDAE,Eleotridae,17320XXXXX,All,Brackishwater
"Gudgeons, sleepers nei",PISCES,GOBIOIDEI,ELEOTRIDAE,Eleotridae,17320XXXXX,All,Freshwater
Hong Kong grouper,PISCES,PERCOIDEI,SERRANIDAE,Epinephelus akaara,1700204205,All,Marine
Greasy grouper,PISCES,PERCOIDEI,SERRANIDAE,Epinephelus tauvina,1700204219,All,Brackishwater
Greasy grouper,PISCES,PERCOIDEI,SERRANIDAE,Epinephelus tauvina,1700204219,All,Marine
Crimson seabream,PISCES,PERCOIDEI,SPARIDAE,Evynnis japonica,1703929502,All,Marine
Gastropods nei,MOLLUSCA,GASTROPODA,,Gastropoda,307XXXXXXX,All,Marine
Mojarras(=Silver-biddies) nei,PISCES,PERCOIDEI,GERREIDAE,Gerres spp,17046036XX,All,Marine
Gobies nei,PISCES,GOBIOIDEI,GOBIIDAE,Gobiidae,17321XXXXX023,All,Brackishwater
Freshwater gobies nei,PISCES,GOBIOIDEI,GOBIIDAE,Gobiidae,17321XXXXX022,All,Freshwater
Trahira,PISCES,CHARACIFORMES,ERYTHRINIDAE,Hoplias malabaricus,1380801703,All,Freshwater
Beluga,PISCES,ACIPENSERIFORMES,ACIPENSERIDAE,Huso huso,1170100501,All,Brackishwater
Silver carp,PISCES,CYPRINIFORMES,CYPRINIDAE,Hypophthalmichthys molitrix,1400204301,All,Brackishwater
Bighead carp,PISCES,CYPRINIFORMES,CYPRINIDAE,Hypophthalmichthys nobilis,1400204302,All,Brackishwater
